"idno","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","hhmmb","gndr","agea","cntry","maritalb","chldhhe","domicil","eduyrs"
10038,30,5,8,6,7,4,6,"Mujeres",16,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",11
10053,10,5,240,3,4,3,4,"Mujeres",24,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",18
10055,150,5,120,6,8,5,2,"Varones",58,"Belgium","Casado/a","Sin menores en el hogar","Pueblo rural",18
10062,15,5,90,7,5,5,1,"Varones",35,"Belgium","Divorciado/a","Con menores en el hogar","Gran ciudad",12
10064,60,5,120,3,8,8,1,"Varones",61,"Belgium","Soltero/a","Sin menores en el hogar","Afueras de una gran ciudad",19
10077,10,5,120,4,4,4,5,"Mujeres",46,"Belgium","Casado/a",NA,"Gran ciudad",17
10079,60,1,NA,1,5,3,1,"Mujeres",70,"Belgium","Divorciado/a","Con menores en el hogar","Pueblo rural",15
10088,60,5,10,6,4,3,3,"Varones",54,"Belgium","Casado/a",NA,"Ciudad pequena",16
10089,90,5,180,7,8,2,2,"Varones",22,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",15
10104,60,1,NA,8,8,5,2,"Varones",83,"Belgium","Viudo/a","Sin menores en el hogar","Pueblo rural",16
10107,30,5,210,3,5,2,1,"Varones",29,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",NA
10112,50,5,120,3,7,5,2,"Varones",64,"Belgium","Casado/a","Sin menores en el hogar","Granja o casa en el campo",15
10133,0,5,300,4,6,3,5,"Mujeres",17,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",11
10145,120,5,60,7,7,6,1,"Varones",62,"Belgium","Soltero/a","Sin menores en el hogar","Afueras de una gran ciudad",12
10156,45,5,300,8,8,4,5,"Varones",20,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",13
10176,60,5,120,5,7,4,6,"Varones",17,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",11
10213,300,5,15,6,2,0,2,"Varones",84,"Belgium","Divorciado/a",NA,"Ciudad pequena",5
10220,30,5,120,5,5,4,4,"Varones",43,"Belgium","Soltero/a",NA,"Ciudad pequena",12
